Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
67	21.0862162	79.0637884		India	Omicron		DOH
112	41.1338198	16.7632158		Italy	BA.2.86*		DOH
9	21.0862162	79.0637884		India	XBB*		DOH
36	5.2544569	-3.9330107		Côte d'Ivoire	XBB*		DOH
123	9.0067224	7.2723697		Nigeria	KP.3*		DOH
67	53.2716381	7.4587572		Germany	EG.5*		DOH
104	22.3160874	113.93647839996052		China	Omicron		DOH
68	-27.7853361	30.7897384		South Africa	BA.2.86*		DOH
52	5.6164609	-0.1770993		Egypt	XBB.1.9.1*		DOH
128	42.3743325	-71.0302794		United States	KP.2*		DOH
66	13.2099268	120.6038962		Philippines	BA.2.86*		DOH
123	9.0067224	7.2723697		Nigeria	JN.1.18*		DOH
52	47.3285764	-106.95163804366535		Jordan	XBB.1.9.1*		DOH
34	12.6270148	99.95103		Thailand	XBB.1.16*		DOH
85	37.235122849999996	127.00921616567815		South Korea (Republic of Korea)	BA.2.86*		DOH
50	28.2127094	83.6658884		Nepal	XBB*		DOH
36	39.47644	-87.1003925		Brazil	XBB.1.5*		DOH
21	22.3160874	113.93647839996052		China	XBB*		DOH
67	47.7930175	12.9950154		Austria	Omicron		DOH
80	24.8865027	67.1440768		Pakistan	BA.2.86*		DOH
76	7.18250095	79.87614047745092		Sri Lanka	Other		DOH
75	53.2716381	7.4587572		Germany	BA.2.86*		DOH
130	47.7930175	12.9950154		Austria	BA.2.86*		DOH
66	1.352975	103.99605546603934		Singapore	Other		DOH
129	22.3160874	113.93647839996052		China	BA.2.86*		DOH
115	21.0862162	79.0637884		India	BA.2.86*		DOH
103	28.2127094	83.6658884		Nepal	BA.2.86*		DOH
126	35.7626211	10.7545542		Tunisia	KP.2*		DOH
87	5.9572597	116.0657877		Malaysia	Other		DOH
99	24.0002488	53.9994829		United Arab Emirates	BA.2.86*		DOH
116	5.9572597	116.0657877		Malaysia	BA.2.86*		DOH
7	-16.7967952	27.0004197		Zambia	Other		DOH
123	-27.3856545	153.1184918		Australia	KP.3*		DOH
81	39.47644	-87.1003925		Brazil	Omicron		DOH
123	21.0862162	79.0637884		India	KP.2*		DOH
50	28.2127094	83.6658884		Nepal	XBB.1.16*		DOH
14	21.0862162	79.0637884		India	Omicron		DOH
58	39.47644	-87.1003925		Brazil	XBB.1.9.2*		DOH
107	22.3160874	113.93647839996052		China	Omicron		DOH
