Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
325	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
326	5.6164609	-0.1770993		Egypt	BA.2.86*	5344AA	DOH
327	36.1634261	137.9289785		Japan	BA.2.86*	5344AA	DOH
328	28.2127094	83.6658884		Nepal	BA.2.86*	5344AA	DOH
329	5.9572597	116.0657877		Malaysia	Omicron	2a6291	DOH
330	12.6270148	99.95103		Thailand	BA.2.86*	5344AA	DOH
331	9.0067224	7.2723697		Nigeria	BA.2.86*	5344AA	DOH
332	5.9572597	116.0657877		Malaysia	BA.2.86*	5344AA	DOH
333	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
334	11.55351865	104.8444244551626		Cambodia	BA.2.86*	5344AA	DOH
335	55.0356373	-1.7110967		United Kingdom	BA.2.86*	5344AA	DOH
336	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
337	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
338	9.0067224	7.2723697		Nigeria	BA.2.86*	5344AA	DOH
339	39.6091229	19.9144855		Greece	BA.2.86*	5344AA	DOH
340	38.9637	35.2433		Turkey	BA.2.86*	5344AA	DOH
341	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
342	-6.5247123	35.7878438		Tanzania	BA.2.86*	5344AA	DOH
343	4.1898549	73.5271565		Maldives	BA.2.86*	5344AA	DOH
344	7.18250095	79.87614047745092		Sri Lanka	BA.2.86*	5344AA	DOH
345	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
346	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
347	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
348	24.9415476	46.7119808		Saudi Arabia	Omicron	2a6291	DOH
349	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
350	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
351	-6.5247123	35.7878438		Tanzania	BA.2.86*	5344AA	DOH
352	53.2716381	7.4587572		Germany	BA.2.86*	5344AA	DOH
353	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
354	36.7429195	3.1924633		Algeria	BA.2.86*	5344AA	DOH
355	5.6164609	-0.1770993		Egypt	BA.2.86*	5344AA	DOH
356	47.7930175	12.9950154		Austria	BA.2.86*	5344AA	DOH
357	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
358	55.0356373	-1.7110967		United Kingdom	BA.2.86*	5344AA	DOH
359	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
360	24.8865027	67.1440768		Pakistan	BA.2.86*	5344AA	DOH
361	37.23512285	127.00921616567815		South Korea	BA.2.86*	5344AA	DOH
362	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
363	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
364	23.61298745	89.51132630000001		Bangladesh	BA.2.86*	5344AA	DOH
365	24.8865027	67.1440768		Pakistan	BA.2.86*	5344AA	DOH
366	24.0002488	53.9994829		United Arab Emirates	BA.2.86*	5344AA	DOH
367	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
368	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
369	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
370	55.0356373	-1.7110967		United Kingdom	BA.2.86*	5344AA	DOH
371	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
372	11.55351865	104.8444244551626		Cambodia	BA.2.86*	5344AA	DOH
373	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
374	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
375	47.7930175	12.9950154		Austria	BA.2.86*	5344AA	DOH
376	41.1338198	16.7632158		Italy	BA.2.86*	5344AA	DOH
377	55.0356373	-1.7110967		United Kingdom	Omicron	2a6291	DOH
378	59.8143342	30.32107		Russia	BA.2.86*	5344AA	DOH
379	5.9572597	116.0657877		Malaysia	BA.2.86*	5344AA	DOH
380	-0.0869947	34.7383296		Kenya	BA.2.86*	5344AA	DOH
381	28.2127094	83.6658884		Nepal	BA.2.86*	5344AA	DOH
382	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
383	22.3160874	113.93647839996052		China	Omicron	2a6291	DOH
384	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
385	24.8865027	67.1440768		Pakistan	Omicron	2a6291	DOH
386	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
387	24.8865027	67.1440768		Pakistan	BA.2.86*	5344AA	DOH
388	9.0067224	7.2723697		Nigeria	BA.2.86*	5344AA	DOH
389	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
390	-0.0869947	34.7383296		Kenya	BA.2.86*	5344AA	DOH
391	49.0079	-2.5508		France	BA.2.86*	5344AA	DOH
392	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
